Thu Apr  6 00:44:02 2023    profile_worker_32537.prof

         203717 function calls (197819 primitive calls) in 9.408 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      501    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/util.py:105(_trans_ctx_check)
        4    0.000    0.000    0.004    0.001 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:2376(_post_configure_properties)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:3779(__init__)
      200    0.000    0.000    0.001    0.000 /usr/lib/python3.8/socket.py:518(type)
        5    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/cursor.py:1081(soft_close)
     1009    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       34    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/event/attr.py:210(update_subclass)
      200    0.000    0.000    0.000    0.000 /usr/lib/python3.8/contextlib.py:463(_push_exit_callback)
   117/96    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1300(__getattr__)
      200    0.000    0.000    0.001    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
      505    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
      100    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      200    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
      502    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/base.py:1048(_effective_plugin_target)
      505    0.000    0.000    0.000    0.000 {built-in method from_iterable}
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:184(<genexpr>)
      300    0.000    0.000    0.000    0.000 /usr/lib/python3.8/codecs.py:260(__init__)
      200    0.000    0.000    0.001    0.000 /usr/lib/python3.8/abc.py:100(__subclasscheck__)
       24    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/annotation.py:291(__init__)
      500    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      300    0.000    0.000    0.000    0.000 /usr/lib/python3.8/codecs.py:186(__init__)
      500    0.000    0.000    0.000    0.000 {method 'fetchall' of 'psycopg2.extensions.cursor' objects}
